index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      
64         11.30      Veh10           WC_3         25.83      12.30      C               0               
64         11.30      Veh6            WC_3         2.73       3.90       C               0               

65         11.40      Veh1            NC_3         57.43      13.89      C               1               
65         11.40      Veh9            NC_3         27.09      12.60      C               1               
65         11.40      Veh2            NC_3         3.15       4.20       C               1               
65         11.40      Veh5            WC_3         57.43      13.89      C               0               
65         11.40      Veh10           WC_3         27.09      12.60      C               0               
65         11.40      Veh6            WC_3         3.15       4.20       C               0               

66         11.50      Veh1            NC_3         58.82      13.89      C               1               
66         11.50      Veh9            NC_3         28.38      12.90      C               1               
66         11.50      Veh2            NC_3         3.60       4.50       C               1               
66         11.50      Veh5            WC_3         58.82      13.89      C               0               
66         11.50      Veh10           WC_3         28.38      12.90      C               0               
66         11.50      Veh6            WC_3         3.60       4.50       C               0               

67         11.60      Veh1            NC_3         60.21      13.89      C               1               
67         11.60      Veh9            NC_3         29.70      13.20      C               1               
67         11.60      Veh2            NC_3         4.08       4.80       C               1               
67         11.60      Veh5            WC_3         60.21      13.89      C               0               
67         11.60      Veh10           WC_3         29.70      13.20      C               0               
67         11.60      Veh6            WC_3         4.08       4.80       C               0               

68         11.70      Veh1            NC_3         61.60      13.89      C               1               
68         11.70      Veh9            NC_3         31.05      13.50      C               1               
68         11.70      Veh2            NC_3         4.59       5.10       C               1               
68         11.70      Veh5            WC_3         61.60      13.89      C               0               
68         11.70      Veh10           WC_3         31.05      13.50      C               0               
68         11.70      Veh6            WC_3         4.59       5.10       C               0               

69         11.80      Veh1            NC_3         62.99      13.89      C               1               
69         11.80      Veh9            NC_3         32.43      13.80      C               1               
69         11.80      Veh2            NC_3         5.13       5.40       C               1               
69         11.80      Veh5            WC_3         62.99      13.89      C               0               
69         11.80      Veh10           WC_3         32.43      13.80      C               0               
69         11.80      Veh6            WC_3         5.13       5.40       C               0               

70         11.90      Veh1            NC_3         64.38      13.89      C               1               
70         11.90      Veh9            NC_3         33.82      13.89      C               1               
70         11.90      Veh2            NC_3         5.70       5.70       C               1               
70         11.90      Veh5            WC_3         64.38      13.89      C               0               
70         11.90      Veh10           WC_3         33.82      13.89      C               0               
70         11.90      Veh6            WC_3         5.70       5.70       C               0               

71         12.00      Veh1            NC_3         65.77      13.89      C               1               
71         12.00      Veh9            NC_3         35.21      13.89      C               1               
71         12.00      Veh2            NC_3         6.30       6.00       C               1               
71         12.00      Veh5            WC_3         65.77      13.89      C               0               
71         12.00      Veh10           WC_3         35.21      13.89      C               0               
71         12.00      Veh6            WC_3         6.30       6.00       C               0               

72         12.10      Veh1            NC_3         67.16      13.89      C               1               
72         12.10      Veh9            NC_3         36.60      13.89      C               1               
72         12.10      Veh2            NC_3         6.93       6.30       C               1               
72         12.10      Veh5            WC_3         67.16      13.89      C               0               
72         12.10      Veh10           WC_3         36.60      13.89      C               0               
72         12.10      Veh6            WC_3         6.93       6.30       C               0               

73         12.20      Veh1            NC_3         68.54      13.89      C               1               
73         12.20      Veh9            NC_3         37.99      13.89      C               1               
73         12.20      Veh2            NC_3         7.59       6.60       C               1               
73         12.20      Veh5            WC_3         68.54      13.89      C               0               
73         12.20      Veh10           WC_3         37.99      13.89      C               0               
73         12.20      Veh6            WC_3         7.59       6.60       C               0               

74         12.30      Veh1            NC_3         69.93      13.89      C               1               
74         12.30      Veh9            NC_3         39.38      13.89      C               1               
74         12.30      Veh2            NC_3         8.28       6.90       C               1               
74         12.30      Veh5            WC_3         69.93      13.89      C               0               
74         12.30      Veh10           WC_3         39.38      13.89      C               0               
74         12.30      Veh6            WC_3         8.28       6.90       C               0               

75         12.40      Veh1            NC_3         71.32      13.89      C               1               
75         12.40      Veh9            NC_3         40.76      13.89      C               1               
75         12.40      Veh2            NC_3         9.00       7.20       C               1               
75         12.40      Veh5            WC_3         71.32      13.89      C               0               
75         12.40      Veh10           WC_3         40.76      13.89      C               0               
75         12.40      Veh6            WC_3         9.00       7.20       C               0               

76         12.50      Veh1            NC_3         72.71      13.89      C               1               
76         12.50      Veh9            NC_3         42.15      13.89      C               1               
76         12.50      Veh2            NC_3         9.75       7.50       C               1               
76         12.50      Veh5            WC_3         72.71      13.89      C               0               
76         12.50      Veh10           WC_3         42.15      13.89      C               0               
76         12.50      Veh6            WC_3         9.75       7.50       C               0               

77         12.60      Veh1            NC_3         74.10      13.89      C               1               
77         12.60      Veh9            NC_3         43.54      13.89      C               1               
77         12.60      Veh2            NC_3         10.53      7.80       C               1               
77         12.60      Veh5            WC_3         74.10      13.89      C               0               
77         12.60      Veh10           WC_3         43.54      13.89      C               0               
77         12.60      Veh6            WC_3         10.53      7.80       C               0               

78         12.70      Veh1            NC_3         75.49      13.89      C               1               
78         12.70      Veh9            NC_3         44.93      13.89      C               1               
78         12.70      Veh2            NC_3         11.34      8.10       C               1               
78         12.70      Veh5            WC_3         75.49      13.89      C               0               
78         12.70      Veh10           WC_3         44.93      13.89      C               0               
78         12.70      Veh6            WC_3         11.34      8.10       C               0               

79         12.80      Veh1            NC_3         76.88      13.89      C               1               
79         12.80      Veh9            NC_3         46.32      13.89      C               1               
79         12.80      Veh2            NC_3         12.18      8.40       C               1               
79         12.80      Veh5            WC_3         76.88      13.89      C               0               
79         12.80      Veh10           WC_3         46.32      13.89      C               0               
79         12.80      Veh6            WC_3         12.18      8.40       C               0               

80         12.90      Veh1            NC_3         78.27      13.89      C               1               
80         12.90      Veh9            NC_3         47.71      13.89      C               1               
80         12.90      Veh2            NC_3         13.05      8.70       C               1               
80         12.90      Veh5            WC_3         78.27      13.89      C               0               
80         12.90      Veh10           WC_3         47.71      13.89      C               0               
80         12.90      Veh6            WC_3         13.05      8.70       C               0               

81         13.00      Veh1            NC_3         79.66      13.89      C               1               
81         13.00      Veh9            NC_3         49.10      13.89      C               1               
81         13.00      Veh2            NC_3         13.95      9.00       C               1               
81         13.00      Veh5            WC_3         79.66      13.89      C               0               
81         13.00      Veh10           WC_3         49.10      13.89      C               0               
81         13.00      Veh6            WC_3         13.95      9.00       C               0               

82         13.10      Veh1            NC_3         81.05      13.89      C               1               
82         13.10      Veh9            NC_3         50.49      13.89      C               1               
82         13.10      Veh2            NC_3         14.88      9.30       C               1               
82         13.10      Veh5            WC_3         81.05      13.89      C               0               
82         13.10      Veh10           WC_3         50.49      13.89      C               0               
82         13.10      Veh6            WC_3         14.88      9.30       C               0               

83         13.20      Veh1            NC_3         82.43      13.89      C               1               
83         13.20      Veh9            NC_3         51.88      13.89      C               1               
83         13.20      Veh2            NC_3         15.84      9.60       C               1               
83         13.20      Veh5            WC_3         82.43      13.89      C               0               
83         13.20      Veh10           WC_3         51.88      13.89      C               0               
83         13.20      Veh6            WC_3         15.84      9.60       C               0               

84         13.30      Veh1            NC_3         83.82      13.89      C               1               
84         13.30      Veh9            NC_3         53.27      13.89      C               1               
84         13.30      Veh2            NC_3         16.83      9.90       C               1               
84         13.30      Veh5            WC_3         83.82      13.89      C               0               
84         13.30      Veh10           WC_3         53.27      13.89      C               0               
84         13.30      Veh6            WC_3         16.83      9.90       C               0               

85         13.40      Veh1            NC_3         85.21      13.89      C               1               
85         13.40      Veh9            NC_3         54.65      13.89      C               1               
85         13.40      Veh2            NC_3         17.85      10.20      C               1               
85         13.40      Veh5            WC_3         85.21      13.89      C               0               
85         13.40      Veh10           WC_3         54.65      13.89      C               0               
85         13.40      Veh6            WC_3         17.85      10.20      C               0               

86         13.50      Veh1            NC_3         86.60      13.89      C               1               
86         13.50      Veh9            NC_3         56.04      13.89      C               1               
86         13.50      Veh2            NC_3         18.90      10.50      C               1               
86         13.50      Veh5            WC_3         86.60      13.89      C               0               
86         13.50      Veh10           WC_3         56.04      13.89      C               0               
86         13.50      Veh6            WC_3         18.90      10.50      C               0               

87         13.60      Veh1            NC_3         87.99      13.89      C               1               
87         13.60      Veh9            NC_3         57.43      13.89      C               1               
87         13.60      Veh2            NC_3         19.98      10.80      C               1               
87         13.60      Veh5            WC_3         87.99      13.89      C               0               
87         13.60      Veh10           WC_3         57.43      13.89      C               0               
87         13.60      Veh6            WC_3         19.98      10.80      C               0               

88         13.70      Veh1            NC_3         89.38      13.89      C               1               
88         13.70      Veh9            NC_3         58.82      13.89      C               1               
88         13.70      Veh2            NC_3         21.09      11.10      C               1               
88         13.70      Veh5            WC_3         89.38      13.89      C               0               
88         13.70      Veh10           WC_3         58.82      13.89      C               0               
88         13.70      Veh6            WC_3         21.09      11.10      C               0               

89         13.80      Veh1            NC_3         90.77      13.89      C               1               
89         13.80      Veh9            NC_3         60.21      13.89      C               1               
89         13.80      Veh2            NC_3         22.23      11.40      C               1               
89         13.80      Veh5            WC_3         90.77      13.89      C               0               
89         13.80      Veh10           WC_3         60.21      13.89      C               0               
89         13.80      Veh6            WC_3         22.23      11.40      C               0               

90         13.90      Veh1            NC_3         92.16      13.89      C               1               
90         13.90      Veh9            NC_3         61.60      13.89      C               1               
90         13.90      Veh2            NC_3         23.40      11.70      C               1               
90         13.90      Veh5            WC_3         92.16      13.89      C               0               
90         13.90      Veh10           WC_3         61.60      13.89      C               0               
90         13.90      Veh6            WC_3         23.40      11.70      C               0               

91         14.00      Veh1            NC_3         93.55      13.89      C               1               
91         14.00      Veh9            NC_3         62.99      13.89      C               1               
91         14.00      Veh2            NC_3         24.60      12.00      C               1               
91         14.00      Veh5            WC_3         93.55      13.89      C               0               
91         14.00      Veh10           WC_3         62.99      13.89      C               0               
91         14.00      Veh6            WC_3         24.60      12.00      C               0               

92         14.10      Veh1            NC_3         94.93      13.89      C               1               
92         14.10      Veh9            NC_3         64.38      13.89      C               1               
92         14.10      Veh2            NC_3         25.83      12.30      C               1               
92         14.10      Veh5            WC_3         94.93      13.89      C               0               
92         14.10      Veh10           WC_3         64.38      13.89      C               0               
92         14.10      Veh6            WC_3         25.83      12.30      C               0               

