index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              timeGapSetting      SpaceGap  timeGap         TLid             yellowOrRed      
34         39.00      v3              TypeManual      20to19_1     331.08     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
34         39.00      v5              TypeManual      25to15_0     85.08      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
34         39.00      v1              TypeManual      2to12_0      353.40     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

35         40.00      v6              TypeManual      10to20_0     29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            20                0                 
35         40.00      v4              TypeManual      15to25_0     163.34     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
35         40.00      v2              TypeManual      18to8_1      297.50     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 
35         40.00      v3              TypeManual      20to19_1     348.96     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
35         40.00      v5              TypeManual      25to15_0     96.26      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
35         40.00      v1              TypeManual      2to12_0      364.58     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

36         41.00      v6              TypeManual      10to20_0     40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
36         41.00      v4              TypeManual      15to25_0     174.52     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
36         41.00      v2              TypeManual      18to8_1      308.68     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 
36         41.00      v3              TypeManual      20to19_1     366.84     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
36         41.00      v5              TypeManual      25to15_0     107.44     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
36         41.00      v1              TypeManual      2to12_0      375.76     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

37         42.00      v6              TypeManual      10to20_0     51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
37         42.00      v4              TypeManual      15to25_0     185.70     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
37         42.00      v2              TypeManual      18to8_1      319.86     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
37         42.00      v3              TypeManual      20to19_1     384.72     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
37         42.00      v5              TypeManual      25to15_0     118.62     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
37         42.00      v1              TypeManual      2to12_0      386.94     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
37         42.00      v7              TypeManual      7to8_0       0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 

38         43.00      v6              TypeManual      10to20_0     62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
38         43.00      v4              TypeManual      15to25_0     196.88     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
38         43.00      v2              TypeManual      18to8_1      331.04     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
38         43.00      v3              TypeManual      20to19_1     402.60     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
38         43.00      v5              TypeManual      25to15_0     129.80     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
38         43.00      v1              TypeManual      2to12_0      398.12     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
38         43.00      v7              TypeManual      7to8_0       3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 0                 

39         44.00      v6              TypeManual      10to20_0     73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
39         44.00      v4              TypeManual      15to25_0     208.06     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
39         44.00      v2              TypeManual      18to8_1      342.22     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
39         44.00      v3              TypeManual      20to19_1     420.48     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
39         44.00      v5              TypeManual      25to15_0     140.98     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
39         44.00      v1              TypeManual      2to12_0      409.30     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
39         44.00      v7              TypeManual      7to8_0       9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 0                 

40         45.00      v6              TypeManual      10to20_0     85.08      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
40         45.00      v4              TypeManual      15to25_0     219.24     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
40         45.00      v2              TypeManual      18to8_1      353.40     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
40         45.00      v3              TypeManual      20to19_1     438.36     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
40         45.00      v5              TypeManual      25to15_0     152.16     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
40         45.00      v1              TypeManual      2to12_0      420.48     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
40         45.00      v7              TypeManual      7to8_0       18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

41         46.00      v6              TypeManual      10to20_0     96.26      11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
41         46.00      v4              TypeManual      15to25_0     230.42     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
41         46.00      v2              TypeManual      18to8_1      364.58     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
41         46.00      v3              TypeManual      20to19_1     456.24     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
41         46.00      v5              TypeManual      25to15_0     163.34     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
41         46.00      v1              TypeManual      2to12_0      431.66     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
41         46.00      v7              TypeManual      7to8_0       29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            8                 1                 

42         47.00      v6              TypeManual      10to20_0     107.44     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
42         47.00      v4              TypeManual      15to25_0     241.60     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
42         47.00      v2              TypeManual      18to8_1      375.76     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
42         47.00      v3              TypeManual      20to19_1     471.92     15.68      -2.20      Undefined           1.64                 -1.00      -1.00            19                1                 
42         47.00      v5              TypeManual      25to15_0     174.52     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
42         47.00      v1              TypeManual      2to12_0      442.84     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
42         47.00      v7              TypeManual      7to8_0       40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

43         48.00      v6              TypeManual      10to20_0     118.62     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
43         48.00      v4              TypeManual      15to25_0     252.78     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
43         48.00      v8              TypeManual      18to28_0     0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            28                0                 
43         48.00      v2              TypeManual      18to8_1      386.94     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
43         48.00      v3              TypeManual      20to19_1     483.48     11.56      -4.12      Undefined           1.64                 -1.00      -1.00            19                1                 
43         48.00      v5              TypeManual      25to15_0     185.70     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
43         48.00      v1              TypeManual      2to12_0      454.02     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
43         48.00      v7              TypeManual      7to8_0       51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

44         49.00      v6              TypeManual      10to20_0     129.80     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
44         49.00      v4              TypeManual      15to25_1     263.96     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
44         49.00      v8              TypeManual      18to28_0     3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            28                0                 
44         49.00      v2              TypeManual      18to8_1      398.12     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
44         49.00      v3              TypeManual      20to19_1     491.25     7.77       -3.79      Undefined           1.64                 -1.00      -1.00            19                1                 
44         49.00      v5              TypeManual      25to15_0     196.88     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
44         49.00      v1              TypeManual      2to12_0      465.20     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
44         49.00      v7              TypeManual      7to8_0       62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

45         50.00      v6              TypeManual      10to20_0     140.98     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
45         50.00      v4              TypeManual      15to25_1     275.14     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
45         50.00      v8              TypeManual      18to28_0     9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            28                0                 
45         50.00      v2              TypeManual      18to8_1      409.30     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
45         50.00      v3              TypeManual      20to19_1     495.98     4.72       -3.05      Undefined           1.64                 -1.00      -1.00            19                1                 
45         50.00      v5              TypeManual      25to15_0     208.06     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
45         50.00      v1              TypeManual      2to12_0      476.38     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
45         50.00      v7              TypeManual      7to8_0       73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

46         51.00      v6              TypeManual      10to20_0     152.16     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
46         51.00      v4              TypeManual      15to25_1     286.32     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
46         51.00      v8              TypeManual      18to28_0     18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            28                0                 
46         51.00      v2              TypeManual      18to8_1      420.48     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
46         51.00      v3              TypeManual      19to9_1      3.70       7.72       3.00       Undefined           1.64                 -1.00      -1.00            9                 0                 
46         51.00      v5              TypeManual      25to15_0     219.24     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
46         51.00      v1              TypeManual      2to12_0      487.56     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
46         51.00      v7              TypeManual      7to8_0       85.08      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

47         52.00      v6              TypeManual      10to20_0     163.34     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
47         52.00      v4              TypeManual      15to25_1     297.50     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
47         52.00      v8              TypeManual      18to28_0     29.18      11.18      2.18       Undefined           1.64                 -1.00      -1.00            28                0                 
47         52.00      v2              TypeManual      18to8_1      431.66     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
47         52.00      v3              TypeManual      19to9_1      14.42      10.72      3.00       Undefined           1.64                 -1.00      -1.00            9                 0                 
47         52.00      v5              TypeManual      25to15_0     230.42     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
47         52.00      v1              TypeManual      2to12_0      498.74     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 
47         52.00      v7              TypeManual      7to8_0       96.26      11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

48         53.00      v6              TypeManual      10to20_0     174.52     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
48         53.00      v1              TypeManual      12to13_0     9.92       11.18      0.00       Undefined           1.64                 -1.00      -1.00            13                1                 
48         53.00      v4              TypeManual      15to25_1     308.68     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
48         53.00      v8              TypeManual      18to28_0     40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            28                0                 
48         53.00      v2              TypeManual      18to8_1      442.84     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
48         53.00      v3              TypeManual      19to9_1      25.60      11.18      0.46       Undefined           1.64                 -1.00      -1.00            9                 0                 
48         53.00      v5              TypeManual      25to15_0     241.60     11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
48         53.00      v7              TypeManual      7to8_0       107.44     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 

49         54.00      v6              TypeManual      10to20_0     185.70     11.18      0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
49         54.00      v1              TypeManual      12to13_0     24.10      14.18      3.00       Undefined           1.64                 -1.00      -1.00            13                1                 
