index     vehicle   timeStep    speed     accel       pos         gap       timeGap   
131        CACC5      14.00      0.35       2.00       5.15       4.97       14.15      
132        CACC1      14.10      0.00       0.00       158.70     -1.00      -1.00      
132        CACC2      14.10      18.20      2.00       88.82      64.88      3.56       
132        CACC3      14.10      12.32      2.00       43.70      40.12      3.26       
132        CACC4      14.10      6.43       2.00       15.77      22.93      3.57       
132        CACC5      14.10      0.55       2.00       5.21       5.56       10.08      
133        CACC1      14.20      0.00       0.00       158.70     -1.00      -1.00      
133        CACC2      14.20      18.40      2.00       90.66      63.04      3.43       
133        CACC3      14.20      12.52      2.00       44.95      40.71      3.25       
133        CACC4      14.20      6.63       2.00       16.43      23.52      3.55       
133        CACC5      14.20      0.75       2.00       5.28       6.14       8.18       
134        CACC1      14.30      0.00       0.00       158.70     -1.00      -1.00      
134        CACC2      14.30      18.60      2.00       92.52      61.18      3.29       
134        CACC3      14.30      12.72      2.00       46.22      41.30      3.25       
134        CACC4      14.30      6.83       2.00       17.11      24.11      3.53       
134        CACC5      14.30      0.95       2.00       5.38       6.73       7.08       
135        CACC1      14.40      0.00       0.00       158.70     -1.00      -1.00      
135        CACC2      14.40      18.80      2.00       94.40      59.30      3.15       
135        CACC3      14.40      12.92      2.00       47.51      41.89      3.24       
135        CACC4      14.40      7.03       2.00       17.81      24.70      3.51       
135        CACC5      14.40      1.15       2.00       5.49       7.32       6.36       
136        CACC1      14.50      0.00       0.00       158.70     -1.00      -1.00      
136        CACC2      14.50      19.00      2.00       96.30      57.40      3.02       
136        CACC3      14.50      13.12      2.00       48.83      42.47      3.24       
136        CACC4      14.50      7.23       2.00       18.54      25.29      3.50       
136        CACC5      14.50      1.35       2.00       5.63       7.91       5.85       
137        CACC1      14.60      0.00       0.00       158.70     -1.00      -1.00      
137        CACC2      14.60      19.20      2.00       98.22      55.48      2.89       
137        CACC3      14.60      13.32      2.00       50.16      43.06      3.23       
137        CACC4      14.60      7.43       2.00       19.28      25.88      3.48       
137        CACC5      14.60      1.55       2.00       5.78       8.50       5.48       
138        CACC1      14.70      0.00       0.00       158.70     -1.00      -1.00      
138        CACC2      14.70      19.40      2.00       100.16     53.54      2.76       
138        CACC3      14.70      13.52      2.00       51.51      43.65      3.23       
138        CACC4      14.70      7.63       2.00       20.04      26.47      3.47       
138        CACC5      14.70      1.75       2.00       5.96       9.08       5.19       
139        CACC1      14.80      0.00       0.00       158.70     -1.00      -1.00      
139        CACC2      14.80      19.60      2.00       102.12     51.58      2.63       
139        CACC3      14.80      13.72      2.00       52.88      44.24      3.22       
139        CACC4      14.80      7.83       2.00       20.83      27.06      3.46       
139        CACC5      14.80      1.95       2.00       6.15       9.67       4.96       
140        CACC1      14.90      0.00       0.00       158.70     -1.00      -1.00      
140        CACC2      14.90      19.80      2.00       104.10     49.60      2.51       
140        CACC3      14.90      13.92      2.00       54.28      44.82      3.22       
140        CACC4      14.90      8.03       2.00       21.63      27.65      3.44       
140        CACC5      14.90      2.15       2.00       6.37       10.26      4.77       
141        CACC1      15.00      0.00       0.00       158.70     -1.00      -1.00      
141        CACC2      15.00      20.00      2.00       106.10     47.60      2.38       
141        CACC3      15.00      14.12      2.00       55.69      45.41      3.22       
141        CACC4      15.00      8.23       2.00       22.45      28.24      3.43       
141        CACC5      15.00      2.35       2.00       6.60       10.85      4.61       
142        CACC1      15.10      0.00       0.00       158.70     -1.00      -1.00      
142        CACC2      15.10      20.20      2.00       108.12     45.58      2.26       
142        CACC3      15.10      14.32      2.00       57.12      46.00      3.21       
142        CACC4      15.10      8.43       2.00       23.30      28.82      3.42       
142        CACC5      15.10      2.55       2.00       6.86       11.44      4.48       
143        CACC1      15.20      0.00       0.00       158.70     -1.00      -1.00      
143        CACC2      15.20      19.70      -5.00      110.09     43.61      2.21       
143        CACC3      15.20      14.52      2.00       58.57      46.52      3.20       
143        CACC4      15.20      8.63       2.00       24.16      29.41      3.41       
143        CACC5      15.20      2.75       2.00       7.13       12.02      4.37       
144        CACC1      15.30      0.00       0.00       158.70     -1.00      -1.00      
144        CACC2      15.30      19.20      -5.00      112.01     41.69      2.17       
144        CACC3      15.30      14.72      2.00       60.05      46.96      3.19       
144        CACC4      15.30      8.83       2.00       25.04      30.00      3.40       
144        CACC5      15.30      2.95       2.00       7.43       12.61      4.27       
145        CACC1      15.40      0.00       0.00       158.70     -1.00      -1.00      
145        CACC2      15.40      18.70      -5.00      113.88     39.82      2.13       
145        CACC3      15.40      14.92      2.00       61.54      47.34      3.17       
145        CACC4      15.40      9.03       2.00       25.95      30.59      3.39       
145        CACC5      15.40      3.15       2.00       7.75       13.20      4.19       
146        CACC1      15.50      0.00       0.00       158.70     -1.00      -1.00      
146        CACC2      15.50      18.20      -5.00      115.70     38.00      2.09       
146        CACC3      15.50      15.12      2.00       63.05      47.65      3.15       
146        CACC4      15.50      9.23       2.00       26.87      31.18      3.38       
146        CACC5      15.50      3.35       2.00       8.08       13.79      4.11       
147        CACC1      15.60      0.00       0.00       158.70     -1.00      -1.00      
147        CACC2      15.60      17.90      -3.00      117.49     36.21      2.02       
147        CACC3      15.60      15.32      2.00       64.58      47.91      3.13       
147        CACC4      15.60      9.43       2.00       27.81      31.77      3.37       
147        CACC5      15.60      3.55       2.00       8.44       14.38      4.05       
148        CACC1      15.70      0.00       0.00       158.70     -1.00      -1.00      
148        CACC2      15.70      17.40      -5.00      119.23     34.47      1.98       
148        CACC3      15.70      15.52      2.00       66.14      48.09      3.10       
148        CACC4      15.70      9.63       2.00       28.77      32.36      3.36       
148        CACC5      15.70      3.75       2.00       8.81       14.96      3.99       
149        CACC1      15.80      0.00       0.00       158.70     -1.00      -1.00      
149        CACC2      15.80      16.90      -5.00      120.92     32.78      1.94       
149        CACC3      15.80      15.72      2.00       67.71      48.21      3.07       
149        CACC4      15.80      9.83       2.00       29.76      32.95      3.35       
149        CACC5      15.80      3.95       2.00       9.21       15.55      3.94       
150        CACC1      15.90      0.00       0.00       158.70     -1.00      -1.00      
150        CACC2      15.90      16.40      -5.00      122.56     31.14      1.90       
150        CACC3      15.90      15.92      2.00       69.30      48.26      3.03       
150        CACC4      15.90      10.03      2.00       30.76      33.54      3.34       
