timeStep    sender         receiver         type                     sendingPlnID        recPlnID            
291.02     CACC8           -                 state_notifyFollowers          -                  -                   
291.02     CACC8           multicast         CHANGE_PL                      CACC8              CACC1               
291.02     CACC8           -                 state_state_waitForAllAcks     -                  -                   

291.02     CACC9           CACC8             ACK                            CACC8              CACC8               

291.02     CACC10          CACC8             ACK                            CACC8              CACC8               

291.02     CACC8           -                 state_sendMergeDone            -                  -                   
291.02     CACC8           CACC1             MERGE_DONE                     CACC1              CACC1               
291.02     CACC8           -                 state_platoonFollower          -                  -                   

291.02     CACC1           -                 state_mergeDone                -                  -                   
291.02     CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
291.02     CACC1           -                 state_platoonLeader            -                  -                   

323.00     CACC1           -                 state_sendSplitReq             -                  -                   
323.00     CACC1           CACC7             SPLIT_REQ                      CACC1              CACC1               
323.00     CACC1           -                 state_waitForSplitReply        -                  -                   

323.00     CACC7           CACC1             SPLIT_ACCEPT                   CACC1              CACC1               
323.00     CACC7           -                 state_waitForCHANGEPL          -                  -                   

323.00     CACC1           -                 state_makeItFreeAgent          -                  -                   
323.00     CACC1           CACC7             CHANGE_PL                      CACC1              CACC1               
323.00     CACC1           -                 state_waitForAck               -                  -                   

323.01     CACC7           -                 state_sendingACK               -                  -                   
323.01     CACC7           CACC1             ACK                            CACC7              CACC7               
323.01     CACC7           -                 state_waitForSplitDone         -                  -                   

323.01     CACC1           -                 state_changePL                 -                  -                   
323.01     CACC1           CACC8             CHANGE_PL                      CACC1              CACC1               
323.01     CACC1           CACC9             CHANGE_PL                      CACC1              CACC1               
323.01     CACC1           CACC10            CHANGE_PL                      CACC1              CACC1               
323.01     CACC1           -                 state_waitForAllAcks2          -                  -                   

323.01     CACC8           CACC1             ACK                            CACC1              CACC1               

323.01     CACC9           CACC1             ACK                            CACC1              CACC1               

323.01     CACC10          CACC1             ACK                            CACC1              CACC1               

323.01     CACC1           -                 state_splitDone                -                  -                   
323.01     CACC1           CACC7             SPLIT_DONE                     CACC1              CACC1               
323.01     CACC1           -                 state_platoonLeader            -                  -                   

