timeStep    sender         receiver         type                     sendingPlnID        recPlnID            
19.04      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.04      CACC6           -                 state_waitForMergeReply        -                  -                   

19.05      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.05      CACC6           -                 state_platoonLeader            -                  -                   

19.14      CACC6           -                 state_sendMergeReq             -                  -                   
19.14      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.14      CACC6           -                 state_waitForMergeReply        -                  -                   

19.15      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.15      CACC6           -                 state_platoonLeader            -                  -                   

19.24      CACC6           -                 state_sendMergeReq             -                  -                   
19.24      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.24      CACC6           -                 state_waitForMergeReply        -                  -                   

19.25      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.25      CACC6           -                 state_platoonLeader            -                  -                   

19.34      CACC6           -                 state_sendMergeReq             -                  -                   
19.34      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.34      CACC6           -                 state_waitForMergeReply        -                  -                   

19.35      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.35      CACC6           -                 state_platoonLeader            -                  -                   

19.44      CACC6           -                 state_sendMergeReq             -                  -                   
19.44      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.44      CACC6           -                 state_waitForMergeReply        -                  -                   

19.45      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.45      CACC6           -                 state_platoonLeader            -                  -                   

19.54      CACC6           -                 state_sendMergeReq             -                  -                   
19.54      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.54      CACC6           -                 state_waitForMergeReply        -                  -                   

19.55      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.55      CACC6           -                 state_platoonLeader            -                  -                   

19.64      CACC6           -                 state_sendMergeReq             -                  -                   
19.64      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.64      CACC6           -                 state_waitForMergeReply        -                  -                   

19.65      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.65      CACC6           -                 state_platoonLeader            -                  -                   

19.74      CACC6           -                 state_sendMergeReq             -                  -                   
19.74      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.74      CACC6           -                 state_waitForMergeReply        -                  -                   

19.75      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.75      CACC6           -                 state_platoonLeader            -                  -                   

19.84      CACC6           -                 state_sendMergeReq             -                  -                   
19.84      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.84      CACC6           -                 state_waitForMergeReply        -                  -                   

19.85      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.85      CACC6           -                 state_platoonLeader            -                  -                   

19.94      CACC6           -                 state_sendMergeReq             -                  -                   
19.94      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
19.94      CACC6           -                 state_waitForMergeReply        -                  -                   

19.95      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

19.95      CACC6           -                 state_platoonLeader            -                  -                   

20.04      CACC6           -                 state_sendMergeReq             -                  -                   
20.04      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.04      CACC6           -                 state_waitForMergeReply        -                  -                   

20.05      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.05      CACC6           -                 state_platoonLeader            -                  -                   

20.14      CACC6           -                 state_sendMergeReq             -                  -                   
20.14      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.14      CACC6           -                 state_waitForMergeReply        -                  -                   

20.15      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.15      CACC6           -                 state_platoonLeader            -                  -                   

20.24      CACC6           -                 state_sendMergeReq             -                  -                   
20.24      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.24      CACC6           -                 state_waitForMergeReply        -                  -                   

20.25      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.25      CACC6           -                 state_platoonLeader            -                  -                   

20.34      CACC6           -                 state_sendMergeReq             -                  -                   
20.34      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.34      CACC6           -                 state_waitForMergeReply        -                  -                   

20.35      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.35      CACC6           -                 state_platoonLeader            -                  -                   

20.44      CACC6           -                 state_sendMergeReq             -                  -                   
20.44      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.44      CACC6           -                 state_waitForMergeReply        -                  -                   

20.45      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.45      CACC6           -                 state_platoonLeader            -                  -                   

20.54      CACC6           -                 state_sendMergeReq             -                  -                   
20.54      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.54      CACC6           -                 state_waitForMergeReply        -                  -                   

20.55      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.55      CACC6           -                 state_platoonLeader            -                  -                   

20.60      CACC7           -                 state_waitForLaneChange        -                  -                   

20.64      CACC6           -                 state_sendMergeReq             -                  -                   
20.64      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
20.64      CACC6           -                 state_waitForMergeReply        -                  -                   

20.65      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

20.65      CACC6           -                 state_platoonLeader            -                  -                   

20.70      CACC7           -                 state_platoonLeader            -                  -                   

20.73      CACC7           -                 state_sendMergeReq             -                  -                   
20.73      CACC7           CACC6             MERGE_REQ                      CACC7              CACC6               
20.73      CACC7           -                 state_waitForMergeReply        -                  -                   

20.73      CACC6           -                 state_sendMergeAccept          -                  -                   
20.73      CACC6           CACC7             MERGE_ACCEPT                   CACC6              CACC7               
20.73      CACC6           -                 state_waitForMergeDone         -                  -                   

20.73      CACC7           -                 state_mergeAccepted            -                  -                   
20.73      CACC7           -                 state_waitForCatchup           -                  -                   

23.10      CACC8           -                 state_waitForLaneChange        -                  -                   

23.20      CACC8           -                 state_platoonLeader            -                  -                   

23.25      CACC8           -                 state_sendMergeReq             -                  -                   
23.25      CACC8           CACC7             MERGE_REQ                      CACC8              CACC7               
23.25      CACC8           -                 state_waitForMergeReply        -                  -                   

23.25      CACC7           CACC8             MERGE_REJECT                   CACC7              CACC8               

23.25      CACC8           -                 state_platoonLeader            -                  -                   

23.35      CACC8           -                 state_sendMergeReq             -                  -                   
23.35      CACC8           CACC7             MERGE_REQ                      CACC8              CACC7               
23.35      CACC8           -                 state_waitForMergeReply        -                  -                   

23.35      CACC7           CACC8             MERGE_REJECT                   CACC7              CACC8               

23.35      CACC8           -                 state_platoonLeader            -                  -                   

23.45      CACC8           -                 state_sendMergeReq             -                  -                   
23.45      CACC8           CACC7             MERGE_REQ                      CACC8              CACC7               
23.45      CACC8           -                 state_waitForMergeReply        -                  -                   

23.45      CACC7           CACC8             MERGE_REJECT                   CACC7              CACC8               

23.45      CACC8           -                 state_platoonLeader            -                  -                   

23.55      CACC8           -                 state_sendMergeReq             -                  -                   
23.55      CACC8           CACC7             MERGE_REQ                      CACC8              CACC7               
23.55      CACC8           -                 state_waitForMergeReply        -                  -                   

23.55      CACC7           CACC8             MERGE_REJECT                   CACC7              CACC8               

23.55      CACC8           -                 state_platoonLeader            -                  -                   

23.65      CACC8           -                 state_sendMergeReq             -                  -                   
23.65      CACC8           CACC7             MERGE_REQ                      CACC8              CACC7               
23.65      CACC8           -                 state_waitForMergeReply        -                  -                   

23.65      CACC7           CACC8             MERGE_REJECT                   CACC7              CACC8               

23.65      CACC8           -                 state_platoonLeader            -                  -                   

23.73      CACC7           -                 state_sendMergeDone            -                  -                   
23.73      CACC7           CACC6             MERGE_DONE                     CACC6              CACC6               
23.73      CACC7           -                 state_platoonFollower          -                  -                   

23.73      CACC1           -                 state_sendMergeAccept          -                  -                   
23.73      CACC1           CACC4             MERGE_ACCEPT                   CACC1              CACC4               
23.73      CACC1           -                 state_waitForMergeDone         -                  -                   

23.73      CACC6           -                 state_mergeDone                -                  -                   
23.73      CACC6           -                 state_platoonLeader            -                  -                   

23.74      CACC6           -                 state_sendMergeReq             -                  -                   
23.74      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
23.74      CACC6           -                 state_waitForMergeReply        -                  -                   

23.75      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

23.75      CACC6           -                 state_platoonLeader            -                  -                   

23.75      CACC8           -                 state_sendMergeReq             -                  -                   
23.75      CACC8           CACC6             MERGE_REQ                      CACC8              CACC6               
23.75      CACC8           -                 state_waitForMergeReply        -                  -                   

23.75      CACC6           -                 state_sendMergeAccept          -                  -                   
23.75      CACC6           CACC8             MERGE_ACCEPT                   CACC6              CACC8               
23.75      CACC6           -                 state_waitForMergeDone         -                  -                   

23.75      CACC8           -                 state_mergeAccepted            -                  -                   
